Catégorie,Type,TMO,Score
Global,meilleur_TMO_sans_equation,Mantiuk08,5.433225274725275
Global,meilleur_TMO_equation_8,Mantiuk08,5.232863247863248
Global,meilleur_TMO_direct,Mantiuk08,5.633587301587302
Océan,meilleur_TMO_global,gamma,5.4
Océan,meilleur_TMO_equation_8,gamma,5.75
Océan,meilleur_TMO_direct,Fattal,5.15
Ville,meilleur_TMO_global,Mantiuk08,6.610769230769231
Ville,meilleur_TMO_equation_8,Mantiuk08,6.461538461538462
Ville,meilleur_TMO_direct,Mantiuk08,6.96
Désert,meilleur_TMO_global,Mantiuk08,5.142857142857142
Désert,meilleur_TMO_equation_8,Mantiuk08,5.0
Désert,meilleur_TMO_direct,Mantiuk08,5.428571428571429
Forêt,meilleur_TMO_global,gamma,4.611111111111111
Forêt,meilleur_TMO_equation_8,gamma,4.055555555555555
Forêt,meilleur_TMO_direct,gamma,5.222222222222222
Montagne,meilleur_TMO_global,gamma,6.354166666666667
Montagne,meilleur_TMO_equation_8,gamma,6.416666666666667
Montagne,meilleur_TMO_direct,gamma,6.291666666666667
